carrier;carrier_name;airport;airport_name;arr_flights;arr_del15; arr_delay;arr_cancelled;;;;Legtöbb járat szám;;;;;;;;;;;
AS;Alaska Airlines Inc.;IAH;Houston; TX: George Bush Intercontinental/Houston;42;0;2;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;IND;Indianapolis; IN: Indianapolis International;28;0;1;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;JFK;New York; NY: John F. Kennedy International;392;0;25;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;JNU;Juneau; AK: Juneau International;292;3;27;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;KOA;Kona; HI: Ellison Onizuka Kona International at Keahole;180;2;9;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;KTN;Ketchikan; AK: Ketchikan International;160;1;12;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;LAS;Las Vegas; NV: McCarran International;627;0;69;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;LAX;Los Angeles; CA: Los Angeles International;1562;8;139;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;LIH;Lihue; HI: Lihue Airport;132;3;5;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;MCI;Kansas City; MO: Kansas City International;52;0;4;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;MCO;Orlando; FL: Orlando International;132;0;7;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;MKE;Milwaukee; WI: General Mitchell International;28;0;0;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;MSP;Minneapolis; MN: Minneapolis-St Paul International;56;0;44706;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;MSY;New Orleans; LA: Louis Armstrong New Orleans International;73;0;8;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;OAK;Oakland; CA: Metropolitan Oakland International;113;0;19;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;OGG;Kahului; HI: Kahului Airport;272;6;44853;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;OMA;Omaha; NE: Eppley Airfield;28;0;0;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;OME;Nome; AK: Nome Airport;56;3;2;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;ONT;Ontario; CA: Ontario International;32;0;3;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;ORD;Chicago; IL: Chicago O'Hare International;192;0;13;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;OTZ;Kotzebue; AK: Ralph Wien Memorial;56;3;1;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;PDX;Portland; OR: Portland International;1408;0;131;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;PHL;Philadelphia; PA: Philadelphia International;80;0;0;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;PHX;Phoenix; AZ: Phoenix Sky Harbor International;276;0;19;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;PIT;Pittsburgh; PA: Pittsburgh International;28;0;1;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;PSG;Petersburg; AK: Petersburg James A Johnson;56;1;5;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;PSP;Palm Springs; CA: Palm Springs International;295;1;44888;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;RDU;Raleigh/Durham; NC: Raleigh-Durham International;56;0;3;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SAN;San Diego; CA: San Diego International;619;4;42;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SAT;San Antonio; TX: San Antonio International;28;0;2;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SBA;Santa Barbara; CA: Santa Barbara Municipal;28;0;0;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SCC;Deadhorse; AK: Deadhorse Airport;76;0;3;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SEA;Seattle; WA: Seattle/Tacoma International;4813;35;418;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SFO;San Francisco; CA: San Francisco International;1855;26;182;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SIT;Sitka; AK: Sitka Rocky Gutierrez;80;0;11;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SJC;San Jose; CA: Norman Y. Mineta San Jose International;516;0;15493;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SLC;Salt Lake City; UT: Salt Lake City International;72;0;10;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SMF;Sacramento; CA: Sacramento International;108;1;44824;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;SNA;Santa Ana; CA: John Wayne Airport-Orange County;330;2;22;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;STL;St. Louis; MO: St Louis Lambert International;28;0;3;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;TPA;Tampa; FL: Tampa International;36;0;2;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;TUS;Tucson; AZ: Tucson International;56;1;44800;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;WRG;Wrangell; AK: Wrangell Airport;56;0;5;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;YAK;Yakutat; AK: Yakutat Airport;56;2;44680;;;;;;;;;;;;;;;
B6;JetBlue Airways;ABQ;Albuquerque; NM: Albuquerque International Sunport;18;0;1;;;;;;;;;;;;;;;
B6;JetBlue Airways;ALB;Albany; NY: Albany International;56;2;44575;;;;;;;;;;;;;;;
B6;JetBlue Airways;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;250;0;13;;;;;;;;;;;;;;;
B6;JetBlue Airways;AUS;Austin; TX: Austin - Bergstrom International;168;0;13;;;;;;;;;;;;;;;
B6;JetBlue Airways;BDL;Hartford; CT: Bradley International;334;0;40;;;;;;;;;;;;;;;
B6;JetBlue Airways;BNA;Nashville; TN: Nashville International;69;0;4;;;;;;;;;;;;;;;
B6;JetBlue Airways;BOS;Boston; MA: Logan International;3910;3;561;;;;;;;;;;;;;;;
B6;JetBlue Airways;BQN;Aguadilla; PR: Rafael Hernandez;83;0;16;;;;;;;;;;;;;;;
B6;JetBlue Airways;BTV;Burlington; VT: Burlington International;84;0;7;;;;;;;;;;;;;;;
B6;JetBlue Airways;BUF;Buffalo; NY: Buffalo Niagara International;277;3;18;;;;;;;;;;;;;;;
B6;JetBlue Airways;BUR;Burbank; CA: Bob Hope;80;6;5;;;;;;;;;;;;;;;
B6;JetBlue Airways;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;128;0;44726;;;;;;;;;;;;;;;
B6;JetBlue Airways;BZN;Bozeman; MT: Bozeman Yellowstone International;8;0;0;;;;;;;;;;;;;;;
B6;JetBlue Airways;CHS;Charleston; SC: Charleston AFB/International;176;0;44761;;;;;;;;;;;;;;;
B6;JetBlue Airways;CLE;Cleveland; OH: Cleveland-Hopkins International;92;0;44895;;;;;;;;;;;;;;;
B6;JetBlue Airways;CLT;Charlotte; NC: Charlotte Douglas International;111;0;8;;;;;;;;;;;;;;;
B6;JetBlue Airways;DCA;Washington; DC: Ronald Reagan Washington National;790;0;82;;;;;;;;;;;;;;;
B6;JetBlue Airways;DEN;Denver; CO: Denver International;82;0;7;;;;;;;;;;;;;;;
B6;JetBlue Airways;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;40;0;3;;;;;;;;;;;;;;;
B6;JetBlue Airways;DTW;Detroit; MI: Detroit Metro Wayne County;80;0;44724;;;;;;;;;;;;;;;
B6;JetBlue Airways;EWR;Newark; NJ: Newark Liberty International;724;2;67;;;;;;;;;;;;;;;
B6;JetBlue Airways;FLL;Fort Lauderdale; FL: Fort Lauderdale-Hollywood International;1931;3;207;;;;;;;;;;;;;;;
B6;JetBlue Airways;HDN;Hayden; CO: Yampa Valley;20;0;2;;;;;;;;;;;;;;;
B6;JetBlue Airways;HOU;Houston; TX: William P Hobby;56;1;3;;;;;;;;;;;;;;;
B6;JetBlue Airways;HPN;White Plains; NY: Westchester County;336;4;32;;;;;;;;;;;;;;;
B6;JetBlue Airways;JAX;Jacksonville; FL: Jacksonville International;295;0;23;;;;;;;;;;;;;;;
B6;JetBlue Airways;JFK;New York; NY: John F. Kennedy International;3089;7;375;;;;;;;;;;;;;;;
B6;JetBlue Airways;LAS;Las Vegas; NV: McCarran International;280;2;29;;;;;;;;;;;;;;;
B6;JetBlue Airways;LAX;Los Angeles; CA: Los Angeles International;513;0;14;;;;;;;;;;;;;;;
B6;JetBlue Airways;LGA;New York; NY: LaGuardia;476;0;35;;;;;;;;;;;;;;;
B6;JetBlue Airways;LGB;Long Beach; CA: Long Beach Airport;603;12;77;;;;;;;;;;;;;;;
B6;JetBlue Airways;MCO;Orlando; FL: Orlando International;1540;1;180;;;;;;;;;;;;;;;
B6;JetBlue Airways;MSP;Minneapolis; MN: Minneapolis-St Paul International;70;0;44786;;;;;;;;;;;;;;;
B6;JetBlue Airways;MSY;New Orleans; LA: Louis Armstrong New Orleans International;126;1;7;;;;;;;;;;;;;;;
B6;JetBlue Airways;OAK;Oakland; CA: Metropolitan Oakland International;72;3;5;;;;;;;;;;;;;;;
B6;JetBlue Airways;ONT;Ontario; CA: Ontario International;28;2;2;;;;;;;;;;;;;;;
B6;JetBlue Airways;ORD;Chicago; IL: Chicago O'Hare International;190;1;19;;;;;;;;;;;;;;;
B6;JetBlue Airways;ORH;Worcester; MA: Worcester Regional;84;0;44831;;;;;;;;;;;;;;;
B6;JetBlue Airways;PBI;West Palm Beach/Palm Beach; FL: Palm Beach International;760;3;48;;;;;;;;;;;;;;;
B6;JetBlue Airways;PDX;Portland; OR: Portland International;45;1;8;;;;;;;;;;;;;;;
B6;JetBlue Airways;PHL;Philadelphia; PA: Philadelphia International;190;0;20;;;;;;;;;;;;;;;
B6;JetBlue Airways;PHX;Phoenix; AZ: Phoenix Sky Harbor International;71;0;6;;;;;;;;;;;;;;;
B6;JetBlue Airways;PIT;Pittsburgh; PA: Pittsburgh International;132;0;17;;;;;;;;;;;;;;;
B6;JetBlue Airways;PSE;Ponce; PR: Mercedita;53;0;3;;;;;;;;;;;;;;;
B6;JetBlue Airways;PSP;Palm Springs; CA: Palm Springs International;37;1;2;;;;;;;;;;;;;;;
B6;JetBlue Airways;PVD;Providence; RI: Theodore Francis Green State;99;0;9;;;;;;;;;;;;;;;
B6;JetBlue Airways;RDU;Raleigh/Durham; NC: Raleigh-Durham International;236;0;44827;;;;;;;;;;;;;;;
B6;JetBlue Airways;RIC;Richmond; VA: Richmond International;200;0;12;;;;;;;;;;;;;;;
B6;JetBlue Airways;RNO;Reno; NV: Reno/Tahoe International;48;1;2;;;;;;;;;;;;;;;
B6;JetBlue Airways;ROC;Rochester; NY: Greater Rochester International;112;0;16;;;;;;;;;;;;;;;
B6;JetBlue Airways;RSW;Fort Myers; FL: Southwest Florida International;474;5;38;;;;;;;;;;;;;;;
B6;JetBlue Airways;SAN;San Diego; CA: San Diego International;124;0;2;;;;;;;;;;;;;;;
B6;JetBlue Airways;SAV;Savannah; GA: Savannah/Hilton Head International;95;0;4;;;;;;;;;;;;;;;
B6;JetBlue Airways;SEA;Seattle; WA: Seattle/Tacoma International;132;0;8;;;;;;;;;;;;;;;
B6;JetBlue Airways;SFO;San Francisco; CA: San Francisco International;406;0;15;;;;;;;;;;;;;;;
B6;JetBlue Airways;SJC;San Jose; CA: Norman Y. Mineta San Jose International;100;4;8;;;;;;;;;;;;;;;
B6;JetBlue Airways;SJU;San Juan; PR: Luis Munoz Marin International;739;1;75;;;;;;;;;;;;;;;
B6;JetBlue Airways;SLC;Salt Lake City; UT: Salt Lake City International;208;0;11;;;;;;;;;;;;;;;
B6;JetBlue Airways;SMF;Sacramento; CA: Sacramento International;80;1;3;;;;;;;;;;;;;;;
B6;JetBlue Airways;SRQ;Sarasota/Bradenton; FL: Sarasota/Bradenton International;69;0;44604;;;;;;;;;;;;;;;
B6;JetBlue Airways;STT;Charlotte Amalie; VI: Cyril E King;71;0;13;;;;;;;;;;;;;;;
B6;JetBlue Airways;SWF;Newburgh/Poughkeepsie; NY: New York Stewart International;56;0;44704;;;;;;;;;;;;;;;
B6;JetBlue Airways;SYR;Syracuse; NY: Syracuse Hancock International;136;0;14;;;;;;;;;;;;;;;
B6;JetBlue Airways;TPA;Tampa; FL: Tampa International;456;0;12479;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ABE;Allentown/Bethlehem/Easton; PA: Lehigh Valley International;28;0;44568;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ABQ;Albuquerque; NM: Albuquerque International Sunport;78;0;3;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;AGS;Augusta; GA: Augusta Regional at Bush Field;84;0;3;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ALB;Albany; NY: Albany International;78;1;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ANC;Anchorage; AK: Ted Stevens Anchorage International;86;0;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;17186;38;880;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;AUS;Austin; TX: Austin - Bergstrom International;546;3;29;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;AVL;Asheville; NC: Asheville Regional;28;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;AVP;Scranton/Wilkes-Barre; PA: Wilkes Barre Scranton International;24;1;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BDL;Hartford; CT: Bradley International;299;1;10;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;209;0;14;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BIL;Billings; MT: Billings Logan International;56;0;7;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BIS;Bismarck/Mandan; ND: Bismarck Municipal;28;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BNA;Nashville; TN: Nashville International;478;0;27;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BOI;Boise; ID: Boise Air Terminal;43;0;44624;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BOS;Boston; MA: Logan International;1327;0;114;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BTR;Baton Rouge; LA: Baton Rouge Metropolitan/Ryan Field;26;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BUF;Buffalo; NY: Buffalo Niagara International;128;0;44715;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;425;0;19;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;BZN;Bozeman; MT: Bozeman Yellowstone International;94;1;5;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CAE;Columbia; SC: Columbia Metropolitan;125;0;44693;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CAK;Akron; OH: Akron-Canton Regional;28;0;44612;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CHA;Chattanooga; TN: Lovell Field;50;0;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CHO;Charlottesville; VA: Charlottesville Albemarle;28;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CHS;Charleston; SC: Charleston AFB/International;306;1;44810;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CID;Cedar Rapids/Iowa City; IA: The Eastern Iowa;1;1;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CLE;Cleveland; OH: Cleveland-Hopkins International;178;0;7;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CLT;Charlotte; NC: Charlotte Douglas International;494;0;18;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CMH;Columbus; OH: John Glenn Columbus International;248;0;6;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;COS;Colorado Springs; CO: City of Colorado Springs Municipal;20;0;44584;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CRW;Charleston/Dunbar; WV: Yeager;28;1;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;546;1;32;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;DAB;Daytona Beach; FL: Daytona Beach International;109;0;7;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;DAL;Dallas; TX: Dallas Love Field;128;1;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;DAY;Dayton; OH: James M Cox/Dayton International;104;0;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;DCA;Washington; DC: Ronald Reagan Washington National;684;1;44674;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;DEN;Denver; CO: Denver International;826;3;46;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;609;2;40;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;DSM;Des Moines; IA: Des Moines International;34;1;1;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;DTW;Detroit; MI: Detroit Metro Wayne County;3920;3;245;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ECP;Panama City; FL: Northwest Florida Beaches International;132;0;44725;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;EGE;Eagle; CO: Eagle County Regional;28;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ELP;El Paso; TX: El Paso International;52;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;EWR;Newark; NJ: Newark Liberty International;385;0;20;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;EYW;Key West; FL: Key West International;84;1;44615;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;FAR;Fargo; ND: Hector International;50;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;FAY;Fayetteville; NC: Fayetteville Regional/Grannis Field;28;0;1;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;FCA;Kalispell; MT: Glacier Park International;28;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;FLL;Fort Lauderdale; FL: Fort Lauderdale-Hollywood International;894;0;16193;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;FNT;Flint; MI: Bishop International;28;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;FSD;Sioux Falls; SD: Joe Foss Field;81;0;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;GEG;Spokane; WA: Spokane International;130;0;6;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;GNV;Gainesville; FL: Gainesville Regional;28;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;GPT;Gulfport/Biloxi; MS: Gulfport-Biloxi International;28;1;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;GRR;Grand Rapids; MI: Gerald R. Ford International;220;0;15;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;GSO;Greensboro/High Point; NC: Piedmont Triad International;204;0;9;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;GSP;Greer; SC: Greenville-Spartanburg International;229;0;12;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;HDN;Hayden; CO: Yampa Valley;50;0;1;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;HNL;Honolulu; HI: Daniel K Inouye International;226;0;18;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;HOU;Houston; TX: William P Hobby;148;1;7;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;HPN;White Plains; NY: Westchester County;54;0;1;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;HSV;Huntsville; AL: Huntsville International-Carl T Jones Field;176;1;9;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;IAD;Washington; DC: Washington Dulles International;200;0;8;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;IAH;Houston; TX: George Bush Intercontinental/Houston;205;0;44908;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;78;0;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ILM;Wilmington; NC: Wilmington International;28;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;IND;Indianapolis; IN: Indianapolis International;329;1;44761;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;JAC;Jackson; WY: Jackson Hole;113;2;3;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;JAN;Jackson/Vicksburg; MS: Jackson Medgar Wiley Evers International;156;1;9;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;JAX;Jacksonville; FL: Jacksonville International;413;0;13;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;JFK;New York; NY: John F. Kennedy International;2270;4;96;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;KOA;Kona; HI: Ellison Onizuka Kona International at Keahole;52;0;1;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;LAS;Las Vegas; NV: McCarran International;1006;3;54;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;LAX;Los Angeles; CA: Los Angeles International;2633;7;140;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;LEX;Lexington; KY: Blue Grass;58;1;1;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;LFT;Lafayette; LA: Lafayette Regional Paul Fournet Field;28;0;1;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;LGA;New York; NY: LaGuardia;1747;2;135;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;LIH;Lihue; HI: Lihue Airport;48;1;6;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;LIT;Little Rock; AR: Bill and Hillary Clinton Nat Adams Field;154;0;7;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MCI;Kansas City; MO: Kansas City International;503;0;25;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MCO;Orlando; FL: Orlando International;1388;0;63;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MDT;Harrisburg; PA: Harrisburg International;78;0;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MDW;Chicago; IL: Chicago Midway International;134;1;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MEM;Memphis; TN: Memphis International;302;1;17;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MIA;Miami; FL: Miami International;640;0;23;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MKE;Milwaukee; WI: General Mitchell International;388;3;15;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MLB;Melbourne; FL: Melbourne International;106;0;6;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MOB;Mobile; AL: Mobile Regional;28;1;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MSN;Madison; WI: Dane County Regional-Truax Field;157;0;10;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MSO;Missoula; MT: Missoula International;52;0;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MSP;Minneapolis; MN: Minneapolis-St Paul International;4436;20;311;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MSY;New Orleans; LA: Louis Armstrong New Orleans International;570;0;30;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MTJ;Montrose/Delta; CO: Montrose Regional;8;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;MYR;Myrtle Beach; SC: Myrtle Beach International;78;0;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;OAK;Oakland; CA: Metropolitan Oakland International;74;0;5;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;OGG;Kahului; HI: Kahului Airport;96;0;44740;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;OKC;Oklahoma City; OK: Will Rogers World;148;0;5;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;OMA;Omaha; NE: Eppley Airfield;155;0;10;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ONT;Ontario; CA: Ontario International;28;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ORD;Chicago; IL: Chicago O'Hare International;738;1;36;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ORF;Norfolk; VA: Norfolk International;193;0;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PBI;West Palm Beach/Palm Beach; FL: Palm Beach International;444;0;17;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PDX;Portland; OR: Portland International;505;0;26;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PHF;Newport News/Williamsburg; VA: Newport News/Williamsburg International;28;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PHL;Philadelphia; PA: Philadelphia International;507;0;44857;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PHX;Phoenix; AZ: Phoenix Sky Harbor International;691;1;31;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PIT;Pittsburgh; PA: Pittsburgh International;260;0;44662;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PNS;Pensacola; FL: Pensacola International;182;6;8;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PSP;Palm Springs; CA: Palm Springs International;60;0;0;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PVD;Providence; RI: Theodore Francis Green State;102;0;5;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;PWM;Portland; ME: Portland International Jetport;23;0;44616;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;RDU;Raleigh/Durham; NC: Raleigh-Durham International;639;0;29;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;RIC;Richmond; VA: Richmond International;230;0;44758;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;RNO;Reno; NV: Reno/Tahoe International;58;1;2;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ROA;Roanoke; VA: Roanoke Blacksburg Regional Woodrum Field;28;0;3;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;ROC;Rochester; NY: Greater Rochester International;76;0;5;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;RSW;Fort Myers; FL: Southwest Florida International;540;0;28;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SAN;San Diego; CA: San Diego International;615;5;20;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SAT;San Antonio; TX: San Antonio International;262;3;18;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SAV;Savannah; GA: Savannah/Hilton Head International;222;0;9;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SDF;Louisville; KY: Louisville Muhammad Ali International;204;0;44859;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SEA;Seattle; WA: Seattle/Tacoma International;1958;14;143;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SFO;San Francisco; CA: San Francisco International;975;1;51;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SJC;San Jose; CA: Norman Y. Mineta San Jose International;183;1;8;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SJU;San Juan; PR: Luis Munoz Marin International;188;1;4;;;;;;;;;;;;;;;
DL;Delta Air Lines Inc.;SLC;Salt Lake City; UT: Salt Lake City International;3087;4;151;;;;;;;;;;;;;;;
